pathway	10918.38802.R1.fastq.gz	10918.38895.R1.fastq.gz	10918.38896.R1.fastq.gz	10918.38899.R1.fastq.gz	10918.38903.R1.fastq.gz	10918.39015.R1.fastq.gz	10918.39024.R1.fastq.gz	10918.39025.R1.fastq.gz	10918.39027.R1.fastq.gz	10918.39028.R1.fastq.gz	10918.39029.R1.fastq.gz	10918.39125.R1.fastq.gz	10918.39127.R1.fastq.gz	10918.39130.R1.fastq.gz	10918.39136.R1.fastq.gz
PWY-5659	17501.035081352686	35865.18989753093	19633.704841656327	27788.107466811492	11330.937580156664	17288.481574841368	7916.598693006405	15987.74860355182	9529.274258801011	27426.15527575537	20913.522763710596	24867.50707788027	33446.36364842038	16029.685154880628	20600.211520161265
PWY-5667	33444.87151936449	39821.369133182874	24450.100980990006	25216.11488950471	20010.971599543915	19970.011398039285	27638.509881497102	16942.540937421632	15052.013592746152	31877.27194063116	25291.57775974847	26425.33761602909	36301.29293680608	19146.179603250766	25668.797153483607
PWY-5676	801.9835455960497	7171.246129414092	444.68669525668537	3294.2780090426454	0.0	20.50225846675201	5632.482717636961	412.6478488440231	269.17155704152094	180.3348491636563	3703.81870696195	77.90091243263568	12916.184915711454	0.0	2108.4663448405395
PWY-5677	115.61142497290885	2074.1557113321737	740.826260826749	990.3947719766265	685.9252300046999	16.5120613910724	130.18585327670465	95.39780430858437	24.22265409146142	106.03306742745795	662.4746499391259	36.18510047388693	5320.54718911216	5.325573775324609	0.0
PWY-5686	37352.99815026059	44718.16099157278	28408.384798740364	29086.576956769888	21705.92154077171	22216.65647279842	25367.73139619712	19792.13502889149	14364.54483185238	37637.74627984703	27114.432199018396	31549.76737388455	42722.4854415168	22053.463165407986	29627.390077443615
PWY-5695	8888.63734237385	33111.486378192254	9083.676920571186	23526.837496069682	10616.454490587601	14079.579917450756	26120.78408072249	7048.874336302234	9421.437066295002	5500.327153203254	22367.173497078387	3430.4873866330217	28283.763757638135	9240.178196080684	13678.569097527803
PWY-5705	438.444543317272	1555.5238289873123	1824.5940469775896	1948.3942030802507	1765.3385138708197	3176.373073119459	6675.877965666622	1060.984208594711	1359.190858783647	165.280196256212	4845.079474932528	139.70444929197322	260.9751368859631	1073.6536086245746	2094.389236169218
PWY-5741	1.5168698270275827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.722871441076355	0.0	0.0	0.0
PWY-5747	237.05546336319898	1208.2237874667178	1600.606303444906	1633.896260993891	907.0959097007606	3300.7039248591573	4193.143782522237	1022.2426916361644	1131.3249278994206	29.50673031090344	4318.679696474331	48.950080220809404	220.94747826086956	1055.677024278331	1782.7360731045314
PWY-5823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.72762645914397	0.0	0.0	0.0
PWY-5837	16710.909387299336	19058.810532289397	7192.9660559253625	5607.967791277843	10167.902387782231	4572.30344526638	17392.611860995792	2248.550872502921	6585.4685494172145	5829.306907422708	10803.63781690957	1811.4382772304723	3792.3907801635555	8038.130984774913	8859.987069786619
PWY-5838	19490.435605023777	27443.52909761971	8950.058881069184	11736.029598648905	11360.753635394058	6112.079438668087	8719.841199230623	3536.9713995543925	7775.7689788881935	7987.366396848728	12676.944615517315	2688.4783707949164	9863.23098019384	11001.435939140552	11297.947996344412
PWY-5840	19731.338505136166	26425.346364648994	8959.230897336634	9938.743232817122	10693.081386772898	5900.647607514454	9647.058316959143	3577.4881063405596	7512.731015074991	8050.283268854748	11814.198925891502	2781.180768964548	9538.000171075997	10488.539021841563	10400.123041726602
PWY-5845	5095.271792680479	9971.648765203687	6766.363442776576	9938.743232817122	10585.629231150522	5900.647607514454	8702.469770036445	3108.4753767825005	6077.502937841846	1143.5239738363266	11310.261952412342	789.2787109621769	2421.244557488913	6329.889134737513	9879.576387656405
