# Constructed from biom file
#OTU ID	10918.38802.R1.fastq.gz	10918.38895.R1.fastq.gz	10918.38896.R1.fastq.gz	10918.38899.R1.fastq.gz	10918.38903.R1.fastq.gz	10918.39015.R1.fastq.gz	10918.39024.R1.fastq.gz	10918.39025.R1.fastq.gz	10918.39027.R1.fastq.gz	10918.39028.R1.fastq.gz	10918.39029.R1.fastq.gz	10918.39125.R1.fastq.gz	10918.39127.R1.fastq.gz	10918.39130.R1.fastq.gz	10918.39136.R1.fastq.gz
f83bc32e60e9c7bddf53a52937cc7ab6	81.0	0.0	0.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	149.0	0.0	0.0	0.0	0.0
1986030e3c5cd5df6d869054bc96e536	6.0	165.0	0.0	0.0	17.0	276.0	3.0	6.0	0.0	381.0	0.0	8.0	0.0	54.0	77.0
ad52a0f6646c574417ce0b13b84acfa9	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
e6a34eb113dba66df0b8bbec907a8f5d	0.0	0.0	0.0	1307.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0	0.0
b8315874f4341a59e8e3ed317406ab09	289.0	36.0	0.0	0.0	85.0	1334.0	0.0	0.0	0.0	0.0	0.0	19.0	406.0	146.0	0.0
2a2947125c677c6e27898ad4e9b9dca7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0cc2420a6a4698f8bf664d50b17d26b4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	10.0	0.0	0.0	0.0
764bb70efe70ec930379806d178319cb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
df3f8cdac76c62baa98469c33b82d8df	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0
29bb5fa7f45e47bbabab8cc1b1b3d18e	0.0	2537.0	1215.0	163.0	0.0	82.0	0.0	0.0	207.0	2576.0	9.0	344.0	0.0	0.0	2116.0
f7686a74ca2d3729eb66305e8a26309b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	8.0	0.0	0.0
d996e8d86e152c0a3c5852a2d8c4c52c	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b45c9784d674879d68d54362419a1d70	0.0	0.0	0.0	0.0	0.0	0.0	210.0	0.0	13.0	44.0	0.0	0.0	0.0	0.0	0.0
8e6e925baa81466352ff781a289e188d	17.0	1611.0	0.0	0.0	0.0	5.0	0.0	37.0	17.0	0.0	0.0	0.0	0.0	16.0	0.0
a4ecfb2e708863a17978a0942358ffc3	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8720f9ecd2331ce68e2896df1bf2d977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	4.0	0.0
6a17479edbe461431433bddb084f731e	0.0	0.0	0.0	453.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
131d3b899e72f19fcae1b0f9f8f3a009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
b3fef1e26b7b6ac20847ede4da68547a	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
932e1f2d3f75eaba13d2b2be2f2f7cb3	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
de61860db8d93da85692dffb5cf32ab9	0.0	0.0	0.0	249.0	0.0	0.0	0.0	0.0	0.0	0.0	145.0	6.0	0.0	0.0	0.0
691656f33e727f8857f5c9ee40ed05b1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	314.0
